,example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,none,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment,uuid
0,./data/images/e78308e9-8c49-4217-9bb2-ef93a4b82b90.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,e78308e9-8c49-4217-9bb2-ef93a4b82b90
1,./data/images/6261799f-3a92-4805-bc56-3252dd645d89.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6261799f-3a92-4805-bc56-3252dd645d89
2,./data/images/80164efd-4678-4b00-92c6-eec6162e0cf1.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80164efd-4678-4b00-92c6-eec6162e0cf1
3,./data/images/e336c7fb-895c-4d87-a384-2b1e479cdb9c.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,e336c7fb-895c-4d87-a384-2b1e479cdb9c
4,./data/images/0054ad1b-896e-42cf-a3fb-c9eedea17ec4.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0054ad1b-896e-42cf-a3fb-c9eedea17ec4
5,./data/images/4b948680-8f6b-4bc6-ae1b-393b1210e74c.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4b948680-8f6b-4bc6-ae1b-393b1210e74c
6,./data/images/c54b80a4-090f-4810-8bc7-f8d330cb19f7.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,c54b80a4-090f-4810-8bc7-f8d330cb19f7
7,./data/images/4530f774-1f6b-4ee2-90f2-9e9c5c014c3f.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4530f774-1f6b-4ee2-90f2-9e9c5c014c3f
8,./data/images/4de619ca-396d-4c0b-a033-7cfbe55b7b9c.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4de619ca-396d-4c0b-a033-7cfbe55b7b9c
9,./data/images/23f42948-c315-4830-a650-4bb5248dc7b0.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,23f42948-c315-4830-a650-4bb5248dc7b0
10,./data/images/af98b1f5-18f8-48ba-9adf-774a72e3057e.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,af98b1f5-18f8-48ba-9adf-774a72e3057e
11,./data/images/156506c2-5e1c-4dc6-bcd5-be76061aef6a.jpg,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,156506c2-5e1c-4dc6-bcd5-be76061aef6a
12,./data/images/defb7bf7-71bd-48b2-958d-6a16e85b7141.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,defb7bf7-71bd-48b2-958d-6a16e85b7141
13,./data/images/21a1b3fa-638e-451b-9ecb-52bf192ff30a.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,21a1b3fa-638e-451b-9ecb-52bf192ff30a
14,./data/images/8ddfa0c8-57fa-4a95-b9be-bb16b4b7a86a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8ddfa0c8-57fa-4a95-b9be-bb16b4b7a86a
15,./data/images/1b786d8d-2c56-4971-906c-44902a537a2a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1b786d8d-2c56-4971-906c-44902a537a2a
16,./data/images/83094c92-4350-45e0-b371-03192f914e92.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,83094c92-4350-45e0-b371-03192f914e92
17,./data/images/204279ec-377f-49cf-89c0-47df1ddfbd00.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,204279ec-377f-49cf-89c0-47df1ddfbd00
18,./data/images/1617998c-60c6-4ea3-8618-a15660890e73.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1617998c-60c6-4ea3-8618-a15660890e73
19,./data/images/a0423929-2d52-4a74-bf6b-caf874dbe39d.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,a0423929-2d52-4a74-bf6b-caf874dbe39d
20,./data/images/7a2be48e-215c-418b-b3fb-afdd3f19904c.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7a2be48e-215c-418b-b3fb-afdd3f19904c
21,./data/images/43f1563d-a52d-45b3-a70f-36047f3a0b3d.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,43f1563d-a52d-45b3-a70f-36047f3a0b3d
22,./data/images/2ce819f7-8fa7-4069-8ba1-a87b8477d46a.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2ce819f7-8fa7-4069-8ba1-a87b8477d46a
23,./data/images/d2464ea7-c2be-40c2-9cd6-c5a15fc2e14a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,d2464ea7-c2be-40c2-9cd6-c5a15fc2e14a
24,./data/images/cbf8badc-3e4e-4479-b31e-3395d2d85b9f.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cbf8badc-3e4e-4479-b31e-3395d2d85b9f
25,./data/images/8c4d7f1d-2082-4599-b445-93a199d704da.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8c4d7f1d-2082-4599-b445-93a199d704da
26,./data/images/6e1e933e-19ed-49c9-8212-15525b200a7a.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6e1e933e-19ed-49c9-8212-15525b200a7a
27,./data/images/333f2337-1b07-4a2d-8463-368fc4f14fdb.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,333f2337-1b07-4a2d-8463-368fc4f14fdb
28,./data/images/177755f6-2adb-4ea4-9749-416e5920bb01.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,177755f6-2adb-4ea4-9749-416e5920bb01
29,./data/images/dafe4e6a-f8d8-4c00-a3fd-b66135cfbef5.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,dafe4e6a-f8d8-4c00-a3fd-b66135cfbef5
30,./data/images/0f65fc80-c77e-45d2-96e7-551e09c7f72c.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0f65fc80-c77e-45d2-96e7-551e09c7f72c
31,./data/images/72685da4-ef9d-49cf-bf79-17382fc3d5c5.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,72685da4-ef9d-49cf-bf79-17382fc3d5c5
32,./data/images/b7c54e67-09c0-4913-9abe-7eead5aae9dd.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,b7c54e67-09c0-4913-9abe-7eead5aae9dd
33,./data/images/62c014e8-d1b1-4c07-8bf8-18a6f51bf11a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,62c014e8-d1b1-4c07-8bf8-18a6f51bf11a
34,./data/images/ccf090b1-6a1d-4a08-b7a0-8a6dc101a5e0.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ccf090b1-6a1d-4a08-b7a0-8a6dc101a5e0
35,./data/images/b51f604b-e1a9-42c9-8cce-eaa6053ff444.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,b51f604b-e1a9-42c9-8cce-eaa6053ff444
36,./data/images/7be772f3-fd6f-4895-9307-dad0fe4bc982.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7be772f3-fd6f-4895-9307-dad0fe4bc982
37,./data/images/e3e42a63-b382-4f84-bd73-c90f8f60180a.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,e3e42a63-b382-4f84-bd73-c90f8f60180a
38,./data/images/012a28c8-7c34-4ea1-85b9-42df2166f7b7.jpg,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,012a28c8-7c34-4ea1-85b9-42df2166f7b7
39,./data/images/4ac0ecb7-025c-4491-b292-0b3d8f7c7193.jpg,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,4ac0ecb7-025c-4491-b292-0b3d8f7c7193
40,./data/images/9c549e1f-7427-4303-9e19-9a0c61d9b62b.jpg,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9c549e1f-7427-4303-9e19-9a0c61d9b62b
41,./data/images/7b0ca74d-31f9-46a7-b557-137c955f8290.jpg,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,7b0ca74d-31f9-46a7-b557-137c955f8290
42,./data/images/c4eefb60-47d5-4ec2-8cf9-d1714ca0d0b8.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,c4eefb60-47d5-4ec2-8cf9-d1714ca0d0b8
43,./data/images/c356d5cf-8005-4699-968b-b5c4435d55d4.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,c356d5cf-8005-4699-968b-b5c4435d55d4
44,./data/images/d92024bc-81b6-4b8f-a4d1-8824b9abc276.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,d92024bc-81b6-4b8f-a4d1-8824b9abc276
45,./data/images/6d27ce1f-fbef-45be-9caa-2d09891e4548.jpg,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,6d27ce1f-fbef-45be-9caa-2d09891e4548
46,./data/images/6cda6aef-5cae-497f-a157-e75f5e8a82b8.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6cda6aef-5cae-497f-a157-e75f5e8a82b8
47,./data/images/0dde508b-bee8-4d4b-b8b3-b693f63a0e03.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0dde508b-bee8-4d4b-b8b3-b693f63a0e03
48,./data/images/70d984fb-9256-4479-a1e0-8ea5de0864ae.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,70d984fb-9256-4479-a1e0-8ea5de0864ae
49,./data/images/d925d23a-9b45-4f2b-8fb2-e8b13506788d.jpg,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,d925d23a-9b45-4f2b-8fb2-e8b13506788d
50,./data/images/7e5dba0f-9002-41c9-bddd-3c60cfb6df99.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7e5dba0f-9002-41c9-bddd-3c60cfb6df99
51,./data/images/441199e2-b032-47a6-9dc4-c367028c17b8.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,441199e2-b032-47a6-9dc4-c367028c17b8
52,./data/images/5f1e2dad-35f1-40e6-9c2d-af68f7cde526.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5f1e2dad-35f1-40e6-9c2d-af68f7cde526
53,./data/images/89f04435-4c85-4059-be08-5024cdee34ca.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,89f04435-4c85-4059-be08-5024cdee34ca
54,./data/images/ae5df291-4a04-49f3-9a05-92e7dbcac70f.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,ae5df291-4a04-49f3-9a05-92e7dbcac70f
55,./data/images/cd4d389c-36da-4e97-81d2-cdc14f7904a1.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cd4d389c-36da-4e97-81d2-cdc14f7904a1
56,./data/images/bc88b68f-f06a-4ddb-bf06-e2ac877f4a4d.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,bc88b68f-f06a-4ddb-bf06-e2ac877f4a4d
57,./data/images/b7d8f189-0ddf-4150-ad3d-304e39532789.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,b7d8f189-0ddf-4150-ad3d-304e39532789
58,./data/images/021dd7e9-006d-419b-80f2-fd19cc132b2f.jpg,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,021dd7e9-006d-419b-80f2-fd19cc132b2f
59,./data/images/4e8fdd0f-d8b4-4fc0-97b7-fb5046bea50a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4e8fdd0f-d8b4-4fc0-97b7-fb5046bea50a
60,./data/images/fd4187dc-ef1f-4934-8dc5-2840ed0807c7.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,fd4187dc-ef1f-4934-8dc5-2840ed0807c7
61,./data/images/1d5e5f43-18cd-4f31-871f-f0f708742378.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1d5e5f43-18cd-4f31-871f-f0f708742378
62,./data/images/81a9e6e5-5437-4220-9d8a-1df1fcb82f7c.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,81a9e6e5-5437-4220-9d8a-1df1fcb82f7c
63,./data/images/3c051836-17b3-4770-8a74-65c8a6971248.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3c051836-17b3-4770-8a74-65c8a6971248
64,./data/images/a156108e-bb1a-4a47-b9e5-5bb3526b6ed8.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,a156108e-bb1a-4a47-b9e5-5bb3526b6ed8
65,./data/images/8a73aa28-1500-47a5-9912-399618030b3a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8a73aa28-1500-47a5-9912-399618030b3a
66,./data/images/e53e687e-dc12-4150-b069-6139eba52393.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,e53e687e-dc12-4150-b069-6139eba52393
67,./data/images/2311fd39-7d5b-4656-9562-f7680f485675.jpg,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2311fd39-7d5b-4656-9562-f7680f485675
68,./data/images/c9b3ba6d-0c79-460d-8026-a3aa76e26372.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,c9b3ba6d-0c79-460d-8026-a3aa76e26372
69,./data/images/0944ff2e-8fde-4c4c-9816-b37ad37a97c6.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0944ff2e-8fde-4c4c-9816-b37ad37a97c6
70,./data/images/52bb7267-6f0f-4c8c-8c59-e58d3f2ec648.jpg,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,52bb7267-6f0f-4c8c-8c59-e58d3f2ec648
71,./data/images/0b58693a-1345-48df-af90-8df0391eba8b.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0b58693a-1345-48df-af90-8df0391eba8b
72,./data/images/7c216404-6ce4-4cc5-8bf1-a19271a412dc.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7c216404-6ce4-4cc5-8bf1-a19271a412dc
73,./data/images/a4aeeb0d-6118-42dd-8296-99bcc2311541.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,a4aeeb0d-6118-42dd-8296-99bcc2311541
74,./data/images/62d35d9b-0d78-4192-a9e2-65680dd26cf1.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,62d35d9b-0d78-4192-a9e2-65680dd26cf1
75,./data/images/9bfe5785-207d-4ee5-927a-6ed900ae5d50.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9bfe5785-207d-4ee5-927a-6ed900ae5d50
76,./data/images/256753c9-67bf-4776-bc15-8a96ccb46cd7.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,256753c9-67bf-4776-bc15-8a96ccb46cd7
77,./data/images/20f00790-80f9-407a-a183-6f79e15d327a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,20f00790-80f9-407a-a183-6f79e15d327a
78,./data/images/16b2b355-3196-47df-a385-9261e827195b.jpg,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,16b2b355-3196-47df-a385-9261e827195b
79,./data/images/a4db4b29-8952-409b-a79a-68a664a46120.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,a4db4b29-8952-409b-a79a-68a664a46120
80,./data/images/0c729c9d-c6ed-40fd-abd1-51bf17c957e1.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0c729c9d-c6ed-40fd-abd1-51bf17c957e1
81,./data/images/0c303042-0c7f-4350-b708-1e6a7f59120b.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0c303042-0c7f-4350-b708-1e6a7f59120b
82,./data/images/367a45c4-fa66-40b3-b25d-1f3dfbfe6087.jpg,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,367a45c4-fa66-40b3-b25d-1f3dfbfe6087
83,./data/images/bb60c74a-53c4-4487-a6cc-1ae559112586.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,bb60c74a-53c4-4487-a6cc-1ae559112586
84,./data/images/dfd76c62-95e0-4222-8f35-7a7ef6e6be46.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,dfd76c62-95e0-4222-8f35-7a7ef6e6be46
85,./data/images/6d921627-fc37-4e2e-b965-43d8b61c114a.jpg,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,6d921627-fc37-4e2e-b965-43d8b61c114a
86,./data/images/827c14a8-dc10-4ef4-a8ff-dea0e89f2f9c.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,827c14a8-dc10-4ef4-a8ff-dea0e89f2f9c
87,./data/images/804498a2-26ec-4fa2-8c0b-1fd98567accd.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,804498a2-26ec-4fa2-8c0b-1fd98567accd
88,./data/images/06d3e05a-dc42-446a-ba15-66d777723d94.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,06d3e05a-dc42-446a-ba15-66d777723d94
89,./data/images/60d8fcff-367e-4f02-bc50-8f7182e1e3ff.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60d8fcff-367e-4f02-bc50-8f7182e1e3ff
90,./data/images/98f94a31-195b-4788-bb32-fa74f1c2069b.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,98f94a31-195b-4788-bb32-fa74f1c2069b
91,./data/images/b9f5f34e-be31-45a8-a07a-d01153faa707.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,b9f5f34e-be31-45a8-a07a-d01153faa707
92,./data/images/89285623-e79e-47e0-a65d-782eb2d46794.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,89285623-e79e-47e0-a65d-782eb2d46794
93,./data/images/ccd446b7-6fbc-4310-b34c-6158a9fb18ce.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,ccd446b7-6fbc-4310-b34c-6158a9fb18ce
94,./data/images/07adaaf4-dd54-4c43-90e9-37cba82d7b3c.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,07adaaf4-dd54-4c43-90e9-37cba82d7b3c
95,./data/images/9f51e462-b0b2-4457-8e16-696f3fc8b810.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9f51e462-b0b2-4457-8e16-696f3fc8b810
96,./data/images/ead0eebb-100f-4578-9769-fa738f51aa31.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,ead0eebb-100f-4578-9769-fa738f51aa31
97,./data/images/3cb2fead-4506-4ade-bb70-6b0b57721a6f.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3cb2fead-4506-4ade-bb70-6b0b57721a6f
98,./data/images/f597f44a-5f76-422d-ba5f-691095dff5b2.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,f597f44a-5f76-422d-ba5f-691095dff5b2
